Name	Location	Date	Minutes	Year	IsDenson	GoodCt	ErrCt	AmbCt	CorrCt	ProbCt	TotalCt	ProbPercent
Liberty Church	Helicon, Alabama	December 4, 1994	"The 46th session of the annual Sacred Harp singing at Liberty Church, in Winston County, was called to order by Billy Williams leading song on page [33b]. Prayer by Kenneth Handcock. Billy Williams then led {72} and leaders were called as follows: Alpha Black [318], [345b]; Corene White {73}, [379]; Stella Pratt {147}, [460]; Aubrey Tyree [358], [298], [434]; L. E. Hannah [147b], [455], [400]; Eron White [37b], [36b], [146]; B. B. Mattox [421] for Unie B. Howard who is ill, [217], [168]; Reedie Powell [200], [300], [269].RECESSThe class resumed singing with Billy Williams leading [410t]. The class was organized by electing the following officers: Chairman - Billy Williams; Vice Chairman - Ted Godsey; Arranging Committee - Travis Keeton; Secretary - Alpha Black. Leaders: Mae Conwill [270], [75], [99]; Carmon Brothers [101t], [207], {74}, for Ervin Brothers “That Beautiful Land”; Lola Roberson [475], [222]; John Hocutt [321b//321], [33t]; Elmer Conwill {448}.LUNCHThe class was called back by the Chairman, Billy Williams, leading song on page [127]. Leaders: Margaret Keeton and Bradley Allen [546], [402], [385b]; Josie Hyde [183], [428], [196]; Ester Brown [436], [317b//317]; John Hyde [39b], [63], {68}; Ada Godsey [59], [482], [301]; Elmer Conwill [142], {275}; Amanda Denson [186], [273]; Charley McCoy [280], [306], [198]; Ted Godsey [236], [408]; Blanton Adair [335], [339]; James Denson [224], [211], [358]; Alma Tyree, Viola Tyree, Bertha Wilson, Reedie Powell, James Denson, Amanda Denson, Roy Cleghorn, Blanton Adair, Jerry Parrish, Ruth Parrish, and Aubrey Tyree [358]; Travis Keeton [57], [56t], [225t]. Billy Williams [231], Aubrey Tyree 20b; Charley McCoy [36b]; Billy Williams [290]. The closing prayer was led by Aubrey Tyree.Chairman - Billy Williams; Vice Chairman - Ted Godsey; Secretary - Alpha Black."	1995	1	62	0	7	2	9	71	0.126760563380282
Concord Primitive Baptist Church	Winfield, Alabama	December 11, 1994	"The annual Sacred Harp singing held at Concord Primitive Baptist Church, Winfield, Alabama, was called to order by Marlin Beasley leading songs on pages [32t] and [31b]. The morning prayer was led by Dr. Doyle Williams. The class organized, and the following officers were elected: Chairman - John Beasley; Vice Chairman - Elmer Conwill; Secretary - Dorothea McCowan; Arranging Committee - Travis Keeton. Leaders: John Beasley [81t], [317]; Dorothea McCowan [276], [532]; Keterina Sanders [454], [389]; Dr. Doyle Williams [128], [142]; Arnold Moore [480], [290]; Cora Sweatt [47b], [49b]; John Hyde [39b], [314]; Brenda Pina [569b], [523b//523].RECESSThe class resumed singing with John Beasley leading song on page {348}. Leaders: Gravis Ballinger [300], [475]; Hubert Hood [460], [434]; Gary Smith [452], [68b]; Earl Ballinger [76b], [349]; L. E. Hannah [498], [182]; Becky Briggs [318], [234]; Lola Myrtle Roberson [546], [192]; Mae Conwill [297], [500]; Josie Hyde [220], [200].LUNCHElmer Conwill brought the class back together leading songs on pages [322] and [337]. Leaders: Joseph Beasley [218], [306]; Sarah Smith [406], [421]; Buell Cobb [141], [138b]; Bruce Rye [440], [430], [377]; Elsie Beasley [212], [499]; Johnny Humber [208], [217]; Warren Steel [57], [392]; Larry Ballinger <427>, [412]; Dr. Juliette Haynes [211], [327], [412]; Ricky Beasley [30b], [330b]; Tommy Beasley [72b], [317]; David Beasley [335], [45t]; Amanda Denson [186], [273]; Ted Godsey [236]; Chuck Beasley [30t], [33b]; Beverly Beasley [108t]; Travis Keeton [108b], [179]. John Beasley led song on page [46] for the closing song. The class was dismissed with prayer by Marlin Beasley.Chairman - John Beasley; Vice Chairman - Elmer Conwill; Secretary - Dorothea McCowan."	1995	1	71	1	1	1	3	74	0.0405405405405405
Little Branch Primitive Baptist Church	Albertville, Alabama	December 15, 1994	"The annual singing held on Thursday before the third Sunday in December, was again held in Little Branch Primitive Baptist Church, Albertville, Alabama. The class was called to order by Elder Howard Cook leading song on page [45t] and then leading in prayer. A business session was entered into with these officers being elected: Chairman - Hershell King; Arranging Committee - Cecil Gilliland; Secretary - Helen Lambert. Leaders: Hershell King [97]; Helen Lambert [67], [277]; Ella Ruth Chamblee [569b], [39b]; Ervin Brothers [74b], {48}, [95], [477]; Ava Blackwood [145b], [145t]; Carmon Brothers [152], “That Beautiful Land”, [52t]; Willowese Malone [354b], [89]; Gordon Wilkerson [384], [405].RECESSThe class was called back together by Hershell King leading [34b]. Leaders: Nell Smith [100], [119]; Clayton Ezell [480], [32t], [33b]; Marie Guthrie [171], [503]: Calvin Rogers [49b]; Ester Brown [124], [358], [36b], [441]; Eugene Blackwood [186], [312t]; Alpha Black [460], [345t]; Lamar Smith [76b], [343]. LUNCHThe class was called back after lunch by Hershell King leading song on [80b]. Leaders: Eunice Kimbrell [42], [129]; Elvin Guthrie [452], [448b], [438], [564]; Rhoda Norris [403], [73t]; J. L. Oden [282], [285t], [410t]; Cecil Gilliland [274t], [30t], [212], and then [61] in remembrance of Otis Roscoe.This singing will be held again Thursday before the third Sunday in December of 1995. The song on page [68b] was the closing song, and the closing prayer was led by Elder Howard Cook. Chairman - Hershell King; Arranging Committee - Cecil Gilliland; Secretary - Helen Lambert."	1995	1	53	0	1	0	1	54	0.0185185185185185
Dutch Treat Singing	Shady Grove Church, Winston County, Alabama	January 1, 1995	"The annual Sacred Harp Dutch Treat Singing was held at Shady Grove Primitive Baptist Church in Winston County. The class was called to order by Ted Godsey leading the song on page [31b]. The morning prayer was led by Dr. Doyle Williams. Ted Godsey then led song on page [59]. The class was organized by electing the following officers: Chairman - Travis Keeton; Vice Chairman - John Hyde; Secretary - Margaret Keeton; Arranging Committee - Odie Horton and Cecil Sanders. Travis Keeton led songs on pages [268] and [422]. Leaders: Dr. Doyle Williams [85], [99]; Elmer Conwill [129], [286]; Keterina Sanders [454], [389]; Hubert Hood [340], [135]; B. B. Mattox [186], [168]; L. E. Hannah [391], [511].RECESSJohn Hyde called the class together leading song on page [290]. Leaders: Arnold Moore [72t], [421]; Gladys Bonds [544], [499]; Marie Aldridge [216], [440]; Flarce Creel [475], [270] for Vernice and Essie Calvert; Edith Tate [34t] for Ms. Mamie Creel who is in the hospital, [35]; Harrison Creel [111b], [512]; Pernie Pelfrey [145b], [312b]; Mae Conwill [288], [274b]; Pat Shaddix [192], [293]; Kermit Adams [75], [276]. LUNCHThe afternoon session resumed with Travis Keeton leading page [203]. Leaders: Juliette Haynes [428], [430]; Amanda Denson [48t], [72t]; Jane Fulmer [63], [177]; Lola Roberson [137], [182]. At this time a business session was held to elect officers for the radio program “The Sacred Harp Hour” at Houston, Mississippi. The class voted to retain the same officers: President - Elmer Conwill; First Vice President - Travis Keeton; Second Vice President - Larry Ballinger; Secretary and Treasurer - Johnny Humber. Leaders: Elmer Conwill [411] for Tom Harper and family; Margaret Keeton [432], {213}; Josie Hyde [235t//235], [546]; Milford Watts [101t], [112], [149]; Mertice Hood {49}; Rose Altha Taylor [47t], [47b]; Velton Chafin [34b], [68b]; Dawson Adams [73b], [73t]; Ora Lee Fannin [147t] for Emily Jones, [83t]; Rev. Blanton Adair [127], [335]; Odie Horton [403]; Cecil Sanders [434]; Ted Godsey and Joshua Smith [323b]. John Hyde and Travis Keeton led song on page [358] for the closing song. The class was dismissed with prayer by Rev. Blanton Adair. Chairman - Travis Keeton; Vice Chairman - John Hyde; Secretary - Margaret Keeton."	1995	1	66	0	2	1	3	69	0.0434782608695652
Original Dutch Singing	West Georgia College, Carrollton, Georgia	January 1, 1995	"The annual all day Sacred Harp singing at the Food Service Building at West Georgia College was held the first Sunday in January. The singing was called to order by Myron House leading song on page [59]. Lonnie Rogers led the morning prayer. Myron House then led song on page {70}, followed by B. M. Smith {32}, {30}; Charlene Wallace [37b], [99]. The business session was held and the same officers were retained: Chairman - Myron House; Vice Chairman - B. M. Smith; Secretary - Charlene Wallace; Arranging Committee - Mary F. Smith; Memorial Committee - Evelyn Harris and Margie Smith. Myron House led song on page [166]. Leaders: Revy Williamson {145}, [155]; Jimmy Denney {101}, [63]; Margie Smith [31b], {225}; Lessie Cates {123}, [75]; Don Bowen [89], [97], [145b]; I. V. McWhorter [109], [84].RECESSThe class resumed singing with Myron House leading song on page [523]. Leaders: Evelyn Harris [61], {47}; Kimzy Cagle [176b], [373]; Lisa Webb [148], [566]; Judy Mincey [510], [501]; Shelton Williamson [189], [300]; Everett Denney [127], [335]; Elsie Brock [340], [146]; Katherine Benefield {147}, [405]; Laura Webb [117], [542].LUNCHThe singing resumed with B. M. Smith leading song on page [167]. Leaders: Geraldine Robinson [339]; Donna Duke [425], [36b]. The Memorial Lesson was then held with Everette Denney leading [531], [43] in memory of Mrs. Dura Blackmon, Evelyn Dillashaw, T. H. Ross, Runie Glover, Carlton Hitchcock, Harry Dumas, Lewis Akin, Dana Jackson, Lewis Cox, Zera Mize, Henry Kerr, Mrs. Berta Denney, Grady Albright, Bill Edwards, Pauline Rogers, and James Lambert. For all the sick and shut-ins, Lonnie Rogers led [143], [45t]. The memorial was closed with prayer by B. J. Harris. Leaders: Mary Brownlee [47b], [162]; Daphene Causey [56b], {77}; Floy Wilder [336], [297]; Sheri Taylor [128], [203].RECESSMyron House called the class together leading song on page [90]. Leaders: Lonnie Rogers [298]; B. J. Harris [347], [452]; Elder Homer Benefield {348}, {56}. Josephine Denney [100], [503]; Felton Denney {31}, [120]; Bonnie Flowers [74b], [103]; Elder Marshall Avery [159], [270]; Estelle Flowers [76b], [200]. After announcements, Myron House and B. M. Smith led page {323} as the closing song. The class was dismissed with prayer by B. J. Harris.Chairman - Myron House; Vice Chairman - B. M. Smith; Secretary - Charlene Wallace."	1995	1	58	0	14	0	14	72	0.194444444444444
Friends Meetinghouse	Yellow Springs, Ohio	January 2, 1995	"The Farewell Singing for Bobbie Goodell was held on January 2, 1995, at the Friends Meetinghouse in Yellow Springs, Ohio. The class was called to order by John Beale leading the song on page [59]. Officers were then elected: Chairman - John Beale; Secretary - Kay Bieszczad; Arranging Committee - Debbie Hall and Jodi Liss; Treasurer - Jim Coppock; Resolution Committee for Bobbie Goodell - Eloise Clark and John Bayer. The opening prayer was led by John Bayer, followed by Kay Bieszczad leading [39t]. Leaders: Jodi Liss [89]; Jim Coppock [273]; Debbie Hall [38t]; Fred Todt [38b]; John Bayer [410t]; Beth Huener [183]; Eloise Clark [159]; Dee Michel [365]; Loraine Bayer [86]; Mike Hieber [37b]; Barbara Bowers [163b]; Eric Conrad [567]; Bobbie Goodell [148]; John and Tineke Stevens [497].RECESSThe class resumed singing with John Beale leading song on page [108t]. Leaders: Linda Coppock [196]; Bob Swope [210]; Kay Bieszczad [235b//235]; Jim Coppock [288]; Jodi Liss [442]; Debbie Hall [146], Fred Todt [535b//535]; John Bayer [274t]; Beth Huener [551]; Dee Michel [236]; Loraine Bayer [29t]; Eloise Clark [412]; Barbara Bowers [220]; Eric Conrad [370]; Bobbie Goodell [461]; Linda Coppock [299]; Tineke Stevens [276]; Bob Swope [34t].LUNCHThe class resumed singing with Eric Conrad leading song on page {47}. Leaders: Beth Huener [66]; Debbie Hall [203]; Steve Tossey [198]; John Beale [269]; Boyd Holliman and Elsie Dooley sang a 7-shape note song, “No Tears in Heaven”, for the class. They have our thanks both for exposing us to the additional shapes and for their wonderful performance of this lovely song. Thank you! Leaders: Mike Hieber [142]; Mike Darby [504]; Jodi Liss [77t]; Fred Todt [480]; John Bayer [123b]; Dee Michel [191]; Eloise Clark [64]; Loraine Bayer [313b]. There was a tribute to Bobbie Goodell by John Bayer, John Beale, and Eloise Clark. She is moving to Long Island, New York in the next few weeks. Bobbie was instrumental in the growth of Sacred Harp singing in the Cincinnati area, and in Ohio in general as well. John Bayer presented her with a framed copy of his new composition “Goodell”. Eloise read the following: We resolve that we will keep Bobbie in our hearts and in our minds for the new year and we resolve to send her east with the best wishes for her future. John Bayer then led “Goodell C.M.”. Leaders: Barbara Bowers [49b]; Eric Conrad [71]; Bobbie Goodell [174]; Linda Coppock [300]; Tineke Stevens [178]; Bob Swope [182]. The upcoming Ohio State Sacred Harp Singing Convention was discussed. This will take place on February 17-19 in Columbus. Mike Darby led the discussion, then led song on page [107]. Beth Hueber [411]; John Beale {410}. RECESSThe singing resumed with Jim Coppock leading [91] from a newly published shape note song book “An American Christmas Harp”. Leaders: Mike Hieber 16 (Christmas Harp); Steve Tossey [223]; Eric Conrad 62 (Christmas Harp); Barbara Bowers [495]; Jodi Liss [344]; John Bayer 82 (Christmas Harp); Fred Todt [547]; Eloise Clark [162]; Mike Darby {83}, 84 (Christmas Harp); Loraine Bayer [503]. The closing prayer was led by Steve Tossey. Bobbie Goodell led [384] as the closing song.Chariman - John Beale; Secretary - Kay Bieszczad."	1995	1	61	0	3	2	5	66	0.0757575757575758
William Walker Memorial Singing	Wofford College, Spartanburg, South Carolina	January 7, 1995	"The second annual William Walker Memorial Singing was held at Wofford College on Saturday, January 7, 1995. Hugh McGraw opened the singing at 10 a.m., welcoming the singers and visitors, and conducting a brief shape note singing school, including page 49 from “Sacred Harp”. Harry Eskew then opened the singing with a prayer, followed by remarks from Harry Eskew and G. C. Waldrep.The first portion of the singing was devoted to songs from William Walker’s “Southern Harmony--1835”. Leaders: Laura Boosinger 83; Sharon Kellam 103; Margie Dietz 3a; John Fedderson 276b; Patty Foy “Bellvue”; Laurel Horton 50; J. B. Parker 265; Mary Johnston 137; Harry Eskew 106b; Becky Hart 107.RECESSThe second half of the morning was dedicated to songs from William Walker’s “Christian Harmony--1877, or “N.C.” version, recently reprinted. Leaders: Willie Israel 159a; Mildred Chandler 89; Diane Eskenasy 359; Terry Chandler 369; Dan Huger 55b; Jean Allen 381c; James Edgerton 381a; Brent Holcomb 293; J.B. Parker 128a; Laura Boosinger 341; Lisa Cox and Amy Ferguson 78b; Scott Swanton 129; Wayne Richard 215a; Betty Moore 117; Sharon Kellam 204a; Laurel Horton 381b; Claudia Egelhoff 86; Terry Chandler 127. (Mr. James Edgerton, age 90, was the oldest participant in the singing. He first learned to sing at the Rock Springs Baptist Church on the Polk-Rutherford Co. line in North Carolina in 1910.) Dr. John Bullard gave the blessing, followed by dinner at the college.LUNCHG. C. Waldrep called the singing back together after lunch leading 300 from the “Sacred Harp”. Leaders: Hugh McGraw 369; Nancy Newell 178; Richard and Evan Whatley 82t; Leanne Carnell 277; Margie Dietz 123t; Lynda Hambourger 347; Charlene Wallace 49t; Scott Swanton 40; John Fedderson 528; Frances Carnell 240; Willie Israel 38b; Mary Johnston 344; Sandra Polanski 497; Eric Carnell 480; Becky Hart 192; Lynda Hambourger 453; Laurel Horton 196; Charlene Wallace 503; Henry Zittrouer 490; Richard and Evan Whatley 207; Diane Eskenasy 200; John Hollingsworth 408; Nancy Newell 107; Sandra Polanski 504; Claudia Egelhoff 203; Eric Carnell 86; Bill Perrin 39t; Frances Carnell 74t; Leanne Carnell 53. Dr. John Bullard closed the singing with 62, after which the singing adjourned to the nearby cemetery and sang 341, 128, and 159 at William Walker’s grave.Chairman - Dr. John Bullard; Secretary - Willie Israel."	1995	0	0	0	0	0	0	0	0
Lillian Calvert and Irene Woodley Memorial	Pleasant Grove Church, Boldo, Alabama	January 7, 1995	"Vernice Calvert called the class to order leading song on [36b]; Harrison Creel led the morning prayer. Leaders: Vernice Calvert [58], {56}; David Roberson [282], [274t]; Sherrie Guthrie [64], [340]; Ozella Blackmon [192], [436]; Tyler Newman [30t], [358], [59]; Sherry Graves [211], [216]; Ann Jett [146], and Julianna Jett [108t]; Elsie Moon [98], [434]; Keterina Sanders [454], [389]; Imogene Nelms [446], [312b]; Homer Cortis [332], [201]; Billy Williams [299], [297]; Danny Creel [269], [383]; Tressie Atkins [217], [78]; Marie Guthrie [220], [411]; Cassie Franklin [391], [498].RECESS Henry Guthery brought the class back together leading songs on pages [527], [517], [284]. Leaders: Eldagene Roberson [142], [306]; Flarce Creel [475], [384]; Edith Tate [532]; Willodean Barton [44]; Elvin Guthrie [440], [455]; Marie Aldridge [155], [336]; Cecil Sanders [530], {569}; Wanda Capps [222], [224]; Velton Chafin {34}, {225}; The Woodley Children: Betty, Jetty, Fay, Frank, Felton, and Dock [379], [75]; The Calvert Children: Vernice, Marie, Flarce, and Elsie, “Jesus Died For Me”, “The Great Roll Call”; Harrison Creel [512], [317], [111b]; Cindy Franklin [178], [350]; Henry Guthery [503b//503]. The closing prayer was led by Harrison Creel. The singing will be held again next year.Chairman - Vernice Calvert; Arranging Committee - Cindy Franklin; Secretary - Wanda Capps."	1995	1	56	0	4	1	5	61	0.0819672131147541
Jack and Henry Kerr Memorial	Camp Ground Methodist Church, North of Fruithurst, Alabama	January 8, 1995	"The annual Kerr Memorial Singing was held the second Sunday in January, 1995. In the absence of the Chairman and Vice Chairman, the singing was called to order by B. M. Smith leading song on page [59]. The morning prayer was led by Lonnie Rogers. The following officers were elected to serve: Chairman - Cecil Edwards; Vice Chairman - Walter Hamrick; Arranging Committee - Hester Edwards; Secretary - Mary Florence Smith. Lonnie Rogers made a motion that this singing in the future be known as the “Jack and Henry Kerr Memorial Singing”. Leaders: B. M. Smith [76b]; Lonnie Rogers [33b], {101}; Lois Kerr Bowman [119]; Don Bowen [354t], [503b//503]; Mary Florence Smith [378b], [565b//565]; Alice Edwards [146], [73b]; B. J. Harris [225t], [303b//303]; I. V. McWhorter [213t], [317b//317]; Evelyn Harris [87], [30T//30t]; Everett Denney [32t], [34b].RECESSThe singing resumed with Lonnie and Vivian Rogers leading song on page [186]. Leaders: Margie Smith [494], [313t]; Jeff Sheppard [203], [168]; Revy Williamson [77b], [99]; Louise Allen [81t], [123t]; Carlene Griffin [117], [159]; Lee Rogers [467b//467], [230]; Shelton Williamson [318].LUNCHB. M. Smith led song on page [127] to begin the afternoon session. Leaders: Judy Mincey [523], [224]; Shelbie Sheppard [183], [284]; Luke Allen [111b], [277]; Mildred McElroy [61], [222]; Erica Abramski [358], [32t]; Lou Cotney [300], [189], [497]; Kenneth Mize [49b], [45t]; Mark Fuller and Lonnie Rogers [59], [49b], [40]; Jeff Sheppard and John Childs [55], [63]; Marvin McElroy [112], [155]; B. M. Smith led [179], [269] in memory of Jack and Henry Kerr, Dean Nelson, Leonard Kerr, and all members of the Kerr families. Evelyn Harris, in memory of Murphee Daniel, led [340]. The class sang [335] for Harvey Austin, [75] for Walter Hamrick, and {68} for Cecil Edwards. The closing song on page [314] was led by Lonnie Rogers and the class was dismissed with prayer by John Childs.Chairman - Cecil Edwards; Vice Chairman - Walter Hamrick; Secretary - Mary Florence Smith."	1995	1	55	0	2	6	8	63	0.126984126984127
Anniversary Singing	Irish American Heritage Center, Chicago, Illinois	January 8, 1995	"The eleventh annual Anniversary Singing was called to order by Melanie Hauff leading song on page [313b]. Sarah Joan Davie led the morning prayer. Melanie Hauff led song on page [85]. Leaders: John Seaton {147}; Kathleen Kuiper [300]; Dan Havens [378b]; Penny Thurman [128]; Nick D’Alessio {354}; Sarah Joan Davie [327]; Steve Warner [127]; Nancy Hejna [95]; Duran Perkins [40]; Val Dunagan [503]; Gary Gronau [419]; Richard Popp [65]; Colette Gurtz [183]; Julie Vea [192]; Wendy Wahn [349]; Daryl Mayberry [460]; Herb Schroeder [110]; Ernestine Pipkin [203]; Sue Kessell [528]; Beverly Enright [224]. Doctoral student, Mark Johnson, was introduced. He is working on a monograph entitled “The Sacred Harp in the Urban North”, and he distributed a survey.RECESSMelanie Hauff called the class together leading song on page {82}. Leaders: Jerry Enright [383]; Ann Huder [47t]; Dave Ressler [436]; Carol Crawford [28b]; Samuel Sommers [475]. The class went into a business session and elected the following officers: Chairman - John Seaton; Vice Chairman - Dean Slaton; Secretary - Darinka D’Alessio; Arranging Committee - Sarah Joan Davie and Daryl Mayberry; Memorial Committee - Kathleen Kuiper and Steve Warner; Chaplin - Herb Schroeder; Finance Committe - Sue Kessell and Lisa Grayson. James Nelson Gingrich led the song on page [454]. Leaders: John Seaton [217]; Becky Browne [362]; Dean Slaton [280]; Jan Katelle [304]; John Bayer [410t]. John Seaton introduced the Founders Lesson. Phil Trier led song on page [268]; Ted Johnson and Marcia Johnson [142]; Judy Hauff and Ted Mercer [171].LUNCH Dean Slaton called the afternoon session together leading song on page [212]. Leaders: Connie Karduck [328]; John Gurtz [102]; Suzanne Flandreau [485]; Kelly Beard [359]; Jenny Willard [274t]; Richard DeLong [434]; Susan Jaster [266]; Lisa Grayson [522]; Keith Willard [411]; Kathy Krug [312B//312b]; Debra Barford [149]; Ted Mercer [278b]; Jeanette Lowry [448t]. Kathleen Kuiper delivered a lesson and led the song on page [86] to remember the sick and shut-ins: Mississippi - Cleo Hawkins; Tennessee - Kristin Lidge; Georgia - The Ellersten Family, Dolly and Junurs Hudgins, and Eva Reeves; Illinois - John Bayley, Kris Richardson, and Jerilyn Schumacher. Steve Warner delivered the memorial lesson and led song on [285t] to remember the deceased: Alabama - Estelle Glenn and Runie Glover; Indiana - Marlin Miller; Illinois - Linda Martin, Stanley Tomandl, Peggy Dillard, Anne Tarsa, Marilyn Trier, and Helmuth Schumacher; Florida - T. H. Ross.RECESSJohn Seaton reconvened the class leading song on page [421]. Leaders: Al Frank [360]; Wendy Lee [472]; James Page led his own composition “Northern Court”; Marcia Johnson [542]; Johanna Fabke [66]; Mark Johnson [159]; Kathleen Kuiper [458]; Judy Hauff [536]; Paul Streeter [535]; Ted Johnson [372]; Ann Werhane [87]; Dick Dunagan [273]; Dave Barford [350]; Richard DeLong [202]; Ernestine Pipkin [276].RECESSDaryl Mayberry called the class together by leading song on page [155]. Leaders: Samuel Sommers {24}; Jenny Willard [137]; Kelly Beard [480]; Nancy Hejna [173]; Jan Katelle [163t]; Gary Gronau [456]; Tom Terranova [504]; Susan Jaster [474]; Jack Chapman [411]; Keith Willard [70b]; Becky Browne [299]. After announcements, John Seaton dismissed the class by leading song on page [62]. The class was dismissed with prayer by Herb Schroeder.Chairman - John Seaton; Vice Chairman - Dean Slayton; Secretary - Darinka D’Alessio."	1995	1	76	0	4	1	5	81	0.0617283950617284
